Question;Correct Choice;Ground Truth Explanation;Generated Explanation (T5);Generated Explanation (LLaMA);Ground Truth Ratings;T5 Ratings;T5 Human Ratings 1;T5 Human Ratings 2;LLaMA Ratings;LLaMA Human Ratings 1;LLaMA Human Ratings 2;T5 Similarity;LLaMA Similarity;T5 BERTScore;LLaMA BERTScore;T5 BLEURT;LLaMA BLEURT
Where would you find a monitor wall that is used for watching moving lines?;hospital;A hospital has monitor walls with moving lines that show details of people like heartbeat etc. All the other options do not have moving lines that one can see.;a hospital is a medical facility that provides medical services.;Monitoring patients is done by using monitors which display their vital signs on screen with moving line graphs. These monitors are usually found in hospitals or clinics. They don’t have anything to do with TVs, radios;"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1 
contrastive: 1";"supports: 2
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.43;0.7;0.84;0.88;-0.97;-0.01
A person wants to be successful, the end goal is to what?;acquire wealth;People consider gaining wealth as becoming successful. When people want to successful, it usually means they want to acquire wealth. Delicious food is an irrelevant option. Self esteem has no relation to becoming successful. One does not aim to be successful to gain compliments. The ultimate goal of becoming successful is not eating dinner.;a person wants to be successful, the end goal is to acquire wealth.;Successful people work towards getting richer which is defined as acquiring wealth by definition. To succeed implies success so it must mean having money or being well off. Becoming famous may lead someone to become rich but it wouldn't necessarily be considered;"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 2
overall: 1
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.69;0.78;0.9;0.87;-0.7;-0.25
What should my family and I look into getting if we don't want an egg from the supermarket?;henhouse;hen house is shed for keeping poultry in and poultry gives you eggs and hen house doesnt require you to go supermarket for eggsfarm doesnt have pultry only.chicken coop are made in large poultry farms generally not in houses.plate cannot provide you eggs. bird's nest doesnt have eggs always.;henhouse is a house;Henhouses provide eggs which come from hens. Hens lay eggs naturally. Supermarkets sell eggs produced by caged or factory-farmed hens, so buying them would not help your family avoid eggs from industrial farming.;"supports: 1
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 0
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1 
contrastive: 1";"supports: 1
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 5
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.61;0.75;0.82;0.85;-1.84;-0.46
Though the drawing of the object was ambiguous at best, the people playing the drawing game were able to identify the item because it was what?;common;Common means something prevalent and people will be able to identify something easily if it is prevalent. So the people were able to identify the object even when it was ambiguous because it was common. Something will be known when it is common and something ambiguous cannot be what the other options say.;common is the only thing that is ambiguous at best.;There wasn’t any clear picture given in question and still players could guess about the item because it is a commonly used object and found everywhere. This option makes sense among others.;"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 0
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";0.77;0.31;0.83;0.85;-0.87;-0.45
Danny noticed a ceramic object on the table and picked a grape out of it.  What might have been on the table?;bowl of fruit;Ceramic objects are made of clay and many tableware like fruit bowls are ceramic. Danny noticed the ceramic object of a bowl of fruit on table and picked a fruit out of it. One cannot pick out grape from painting of fruits and other options aren't ceramic objects.;a bowl of fruit is a ceramic object.;Ceramics are made by shaping liquid materials such as earthenware or porcelain into forms which then undergo high temperature processing to produce strong products (Wikipedia). Bowls of fruit would most likely be ceramic and would therefore;"supports: 3
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 1
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1 
contrastive: 1";"supports: 3
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 0";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.73;0.72;0.89;0.85;-1.41;-0.49
What is rain a type of?;weather;Rain is type of a weather. Disneyland isnt a type of rain. Air dont fits here. Forest dont suits here. Rain is not a snow.;rain is a type of weather.;Rain is a form or kind of weather which is precipitation through water droplets falling from clouds. Clouds don’t emit lightning, hail, snowflakes etc., only rainwater falls down due to gravity force. Th;"supports: 3
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 3
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2 
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.72;0.62;0.88;0.84;-1.0;-0.56
The news held a forum on who people would choose, they had a group that was what?;undecided;There can be a group of undecided people and not blank people. Undecided refers to not making a decision while rejection, predetermination and forcing do not.;the news held a forum on who people would choose, they had a group that was undecided;Undecided meant having no decision or being unable to decide something clearly due to uncertainty about which option to select. This option describes those candidates who were undecided whether to vote for Trump or Biden during elections. Other options don’t seem;"supports: 0
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.57;0.77;0.85;0.85;-0.86;-0.27
What device with a lens would be used to see distant stars and planets?;telescope;Telescope is an optical instrument designed to make distant objects appear nearer, containing an arrangement of lenses, or of curved mirrors and lenses, by which rays of light are collected and focussed and the resulting image magnified. The device with a lens called Telescope would be used to see distant stars and planets. Camera is a device to record images at nearby places and not of far space. Glasses is not a device to see distant stars and planets. Microscope is for small cells and not for seeing stars and planets. Kaleidoscope is a toy and you can see within it and not through it. So, you can’t see stars and planets with Kaleidoscope.;telescopes are used to see distant stars and planets.;Telescopes are devices which are used to view things far away or invisible to naked eyes. They magnify the image by using their glass/plastic lenses or mirrors. They come in different sizes based on the size of the;"supports: 4
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 3
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1 
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.74;0.71;0.87;0.85;-1.34;-0.5
Sam came to despise his sister.  On the other hand, she felt what for him?;admire;Admire is to regard with respect or warm approval. Sam came to despise his sister. On the other hand, she felt admire for him. Despise is to feel contempt or a deep repugnance for. Love is a deep affection and not the opposite feeling of despise which his sister had for him. Worship is adoration for a deity whereas Sam was her brother. Cherish is to protect and care whereas Sam came to despise his sister who had a complete opposite feeling for Sam and it was not cherish. Honor is not an opposite of Despise what Sam’s sister had for him.;admire is a word that describes a feeling of admiration.;Despising someone suggests feeling hatred towards them while admiring indicates loving them. The given sentence says Sam hated her whereas her feelings were opposite i.e., she loved Sam. So, we conclude that her feelings for Sam was ';"supports: 3
overall: 4
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 3
overall: 0
well_written: 0
related: 1
factual: 0
new_info: 0 
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2 
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.69;0.68;0.83;0.85;-1.14;-0.81
Justin couldn't dance long because he experienced what?;fatigue;Justin couldn't dance long because he experienced fatigue. To dance long is not related with having fun or meeting people. A person dont experience to be mannual. Become tired cant be experienced.;Justin couldn't dance long because he experienced fatigue.;Fatigued or tired would mean that someone was exhausted after dancing so long which Justin could not do if he were sick/ ill due to pain (injury). Exhaustion wouldn’t occur until later into the party;"supports: 2
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1 
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 4
well_written: 0
related: 0 
factual: 0
new_info: 1 
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";0.9;0.8;0.92;0.85;-0.06;-0.23
She had a bad habit of washing hands over one thousand times a day, what did she experience as a result?;dry skin;She experience dry skin as a result of washing hands over one thousand times a day. She had a bad habit of washing her hands again and again which results into the dry skin. Health is not due to a bad habit. To become wet is not a result that she experienced. She didnt experience skin irritation by washing hands again and again. Medium is not something to be experienced.;washing hands over one thousand times a day causes dry skin.;Washing hand over 1000 times will lead to dryness of your hands. Skin cells lose their moisture due to excessive exposure to water which results into dry skin.;"supports: 3
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1 
unnecessary_info: 1 
contrastive: 1";"supports: 3
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.7;0.67;0.89;0.87;-0.77;-0.48
