Question,Choices,Ground Truth Explanation,Correct Choice,T5 Prediction,LLaMA Prediction
"If something's weight isn't light, what is it?","crucial, darkness, cumbersome, heavy, darkness","Heavy is of great weight, difficult to lift or move. If something's weight isn't light, it is heavy. Crucial is decisive or critical but not when something’s weight isn’t light. Darkness is absence of light, the light of sun and not that is light in weight. Cumbersome is too heavy in every aspect that is size, shape and weight therefore difficult to carry or use.",heavy,cumbersome,heavy
Bob is in a dressing room.  He's putting on waterproof trunks and goggles.  What sort of facility is he most likely visiting?,"swimming pool, actors and actresses, fancy restaurant., gym, theatre",Bob is putting on waterproof trunks and goggles in dressing room that are used usually at swimming pool so bob is likely to visit swimming pool.Actors and actresses are not facility that bob may visit. Visiting fancy restaurants and gym and theatre doesn't require waterproof trunks and goggles,swimming pool,swimming pool,swimming pool
Why would you be going for run if you are not ill?,"mouth wash, breathlessness, losing weight, better health, satisfaction","People go for run for fitness and good health. Going for run while not being ill is generally for fitness. Fitness comes under losing weight so if you go for run while not ill, losing weight is the reason. Mouth wash and breathlessness are not reasons to go for a run and other options come under losing weight.",losing weight,losing weight,losing weight
"Playing tennis can be a great workout, all the lateral movement really gets the whats?","legs, skill, hand, competition, tennis racket","Legs are a part of body which when played tennis, have a lateral workout. All the other options are not fesiable as they are not related to where the lateral workput gets.",legs,legs,legs
"She looked longingly at her unrequited love, what did she want to be for him?","get money from, go to college, fall down, whatever, matter to",Unrequited means not returned and one would return love to someone if they matter. She wanted to matter to him as she loved him but did not get love in return. She did not want to be whatever to him and all the other options are not positions in which a person can be.,matter to,matter to,matter to
Bill suffered from boredom. He'd stare off and do what?,"work, see visions., fiddle, play games, dream",Dreaming happens when one stares off for a long time and it keeps the mind occupied which further breaks boredom. Staring off for a long time neither leads to working nor leads to playing games. Fiddling and seeing visions do not break boredom.,dream,dream,dream
"Mark's semen was very thick, but after his vasectomy it was also what?","blank, sparse, thin, clear, free flowing","Vasectomy is a means of sterilization hence it clears semen . Semen after vasectomy, becomes clear. Semen cant be blank, sparse. Semen cant become thin after vasectomy. Semen cant flow free if vasectomy is done",clear,clear,clear
What water feature has a pool at the bottom?,"waterfall, hose, neighbor's house, backyard, at hotel","Waterfalls are a water feature and have a pool like thing on its bottom as the water collects there. Neighbour house, backyard and hotels are not a water feature whereas hose do not have pool at its bottom.",waterfall,waterfall,waterfall
WHat does someone feel for someone that they entertain?,"please, hot, happy, liked, enjoyable",you like someone if he entertains you.you cannot please someone if he is already entertaining. entertainment cannot make you feel hot you have the feeling of liking more than being happy for someone who entertains you. enjoyable is not feeling.,liked,liked,liked
"He was a trivia hound and loved being able to answer anything, he loved studying to do what?","better grades, higher intelligence, increasing knowledge, inspiration, strain eyes",Knowledge is increased by studying. As study increases knowledge so he loved studying and being able to answer anything. He dont loves study for better grades. Studying might not give him higher intelligence. Inspiration cant be done by someone. A person dont love studying to strain their eyes.,increasing knowledge,increasing knowledge,increasing knowledge
James drove down the thoroughfare though his home what?,"house, country, city, town, traffic","Home town is a proper word. Throughfare can be drove through the home town. Home house, home country or home city is not any word. One cant drive through his home traffic.",town,town,town
"The mom liked giving assistance to her children, why did she do it?","law suits, feel loved, contractual obligation, happiness, out of pocket",Assisting others generally causes the feelings of pleasure and fulfillment and feeling loved means feeling pleasure and fulfillment. Mom gave assistance to her children as she felt loved. Happiness comes under feeling loved and mothers assist their childern not because of the other options.,feel loved,feel loved,feel loved
Where does water enter in a dam to create electricity?,"wet clothes, power turbine, cracks, thin soup, dribble","Electricity runs through power. In a dam, water enters the power turbine to create electricity. Wet clothes cant create electricity. Water cant enter cracks. Thin soup is not related to dam. Dribble is not a place.",power turbine,power turbine,power turbine
What do adults do with their clothing?,"smoke cigarettes, drive vehicle, dress themselves, park, drink beer",Clothes are meant to dress yourself. Adults dress themselves using clothing.Clothing is not related to driving vehicles or smoking cigarettes. Clothes cannot be parked. One cant drink beer using clothes.,dress themselves,dress themselves,dress themselves
If you're on the terrace enjoying warm Mediterranean breezes in what part of the continent are you?,"garden, spain, rice paddy, house, southern europe","Southern Europe is the southern region of the European continent. If you're enjoying warm Mediterranean breezes on the terrace then you are at southern europe. Terrace is not present in a garen. Spain is a country and not a continent. At rice paddy or house, you cant enjoy mediterranean breezes.",southern europe,southern europe,southern europe
Where might a yard be tiny?,"farmland, neighborhood, city, property, subdivision","At city, there might be a tiny yard. Farmland might not have a yard. A yard cant be found in a neighborhood. Property is not a place where a tiny yard can be found. A tiny yard cant be found at subdivisions as it is not a place.",city,city,farmland
Sally went out to look for a stepladder.  Where might she have gone?,"construction worker's vehicle, tool shed, hardware store, elevator, store room","A stepladder can be kept in a tool shed. Sally might have gone to the tool shed when she went out to look for a stepladder. Construction worker's vehicle isnt a place to look for a stepladder. To look for a stepladder, she might not have gone to hardware store. An elevator is not a place to look for a stepladder. As Sally went out to look for a stepladder so she might not have gone to store room.",tool shed,tool shed,tool shed
Cows outnumber people 4 to 1 in what state north of Kansas?,"advertisement, nebraska, countryside, fairy tale, iowa","Nebraska is a midwestern U.S. state encompassing the prairies of the great plains, the towering dunes of the sandhills and the panhandle’s dramatic rock formations. Cows outnumber people 4 to 1 in Nebraska state north of Kansas. Advertisement is an announcement in a public medium and not a state where cows outnumbered people. Countryside is a rural area and not a state where cows outnumbered people. Fairy tale is a children’s story and not a state where cows outnumbered people. Iowa is not a state where cows outnumbered people.",nebraska,nebraska,nebraska
Where is cheese likely to be dangerous for some creatures?,"refrigerator, mouse trap, fridge, outside, plate","Mouse trap is dangerous for some creatures and cheese is placed on a mouse trap and not outside. Mouse trap is a cruel device unlike refrigerator, fridge and plate.",mouse trap,mouse trap,refrigerator
What is often an outward expression of happiness?,"love, laughter, spread, tears, limp",Laughter is the expression of laughing due to amusement which includes happiness. So laughter is often an outward expression of happiness. Other options may not be expressions of happiness.,laughter,laughter,laughter
Where would a captain be on the sea?,"military, bridge of ship, battleship, basketball team, cruise ship",A battleship sails on the sea unlike the military or a basketball team. A battleship also has a captain and is a warship while bridge of ship and cruise ship are not warships.,battleship,battleship,battleship
"John lives in a farhouse well away from anyone. He doesn't farm himself, the farm shut down long ago.  How would you describe the area where he lives?","farming community, rural area, cow's shed, michigan, housing farmer and family",Rural area can have farm house and person can live in farmhouse as it has farm and house both and Rural area is generally far from city area and rural area can have farmhouse even though farming is stopped long ago.Generally farming community doesn't have farmhouse in which farm is shut down as farming community's primary activity is local food production. Cow' shed is not an area where person can live.Everybody cannot live in Michigan. Housing farmer and family is not an area where person can live.,rural area,farming community,rural area
Where are you likely to find melted cheese?,"refrigerator, bread, fridge, pizza, market","Pizza contains cheese and is an italian dish unlike bread. Pizza is an edible product while refrigerator, fridge and market are not.",pizza,pizza,pizza
Sarah loved riding horse but she was having pain in his legs because of it. She was experiencing what sesation?,"bouncing, shaky, fear, movement, stiffness",Stiffness in legs cause pain. Riding horse sometimes cause stiffness in legs. PAin dont cause bouncing experience. Pain in leg is not shaky. Pain is not related to fear. Movement is not a sensation.,stiffness,stiffness,stiffness
"Where could there be many couch, all with people sitting on them?","restaurant, rest area, apartment, neighbor's house, waiting room",Waiting room is a place where people wait for someone or something and people generally wait by sitting on couches. The places from all the other options may not have couches.,waiting room,waiting room,waiting room
Where can you enjoy a hike and maybe an enccouter with a fox?,"mountains, arctic tundra, great outdoors, open meadow, city","The great outdoors refers to all of the nature and wilderness outside, where we can enjoy a hike and encounter a fox too. All other options come under great outdoors.",great outdoors,great outdoors,great outdoors
What is learning about the world and how it works likely to cause?,"pleasure, laughter, anger, loss of innocence, sadness","Loss of innocence is often seen as an integral part of coming age. It is usually thought of as an experience or period in a person’s life that leads to a greater awareness of evil, pain and /or suffering in the world around them. Learning about the world and how it works likely to cause Loss of innocence. Pleasure is a feeling of satisfaction and not a cause. Laughter is not caused by learning about the world as world is not the funny place. Anger being a strong feeling of annoyance whereas you don’t get angry while learning about the world. Sadness is not the cause of learning about the world.",loss of innocence,loss of innocence,loss of innocence
If a beautiful person sprays you with a hose what will you be?,"wet, cold, dull, bad, rainy","Hose is flexible tube conveying water and spraying on one means pouring water. When water falls on someone, they get wet. So when a person sprays with a hose, we become wet. Cold is a feeling of being wet and rainy is a weather and not what someone can be. One won’t be what the other options say when sprayed by a hose.",wet,wet,wet
What will you do if you do not turn and you do not move either?,"twist, going straight, twist, stand still, go straight","If you do not turn and move either, you will stand still. You will not be able to twist untill you will turn. Without even moving, you cant be going straight. If you do not move then you cant so straight.",stand still,stand still,twist
Where are gallons of beer held in one container?,"outside, friend's house, neighbor's house, keg, refrigerator",Keg is a small barrel with a capacity from 10 to 30 gallons. Gallons of beer can be held in one keg. All the other options are not containers.,keg,keg,keg
Where would a brave squirrel be found?,"street, forest, tree, yard, park",A brave squirrel would be found on the streets. Forest or tree or yard or park is not a place where a brave squirrel can be found.,street,street,street
Sarah didn't think that they deserved division.  She spend a lot of effort doing what to them?,"multiplication, putting together, times, subtraction, multiply",Putting together is to join its different parts to each other so that it can be used. Sarah didn't think that they deserved division. She spend a lot of effort doing putting together to them. Sarah didn't think that they deserved division means she was talking about separation and multiplication is not on what she spend a lot of effort. Times is multiplication of a number and is not on what she spend a lot of effort. Subtraction is a tool in mathematics and doesn’t relate with Sarah’s thought of not deserving separation. Sarah didn't think that they deserved division means she was talking about separation and multiply is not on what she spend a lot of effort.,putting together,putting together,multiply
Where do tourists frequent most in mexico?,"beach, zoo, waterfall, homes, disneyland",Tourists most frequently visit the beach in mexico. Tourists dont go to zoo most frequently. Tourists dont go to waterfall in mexico. Tourists dont have their homes in mexico. Disneyland is not in mexico.,beach,beach,beach
Where can someone eat popcorn quietly?,"soccer game, movie theater, movie house, carnival, circus",A movie house is a place with not many people making noises and also has popcorn. A person cann go there and eat their popcorn queitly. All the other options are incorrect because they are not a place where one can sit and eat tehir popcorn quietly.,movie house,movie house,movie theater
HOw do you watch film before its on video?,"wear contact lenses, go to movies, open eyes, have eyes, rent one",To watch film you have to go to movies before its on video. It is not necessary to Wear contact lenses. Open eyes or have eyes is not a way to watch movies. You cannot rent one film before its on video.,go to movies,go to movies,go to movies
Google Maps and other highway and street GPS services have replaced what?,"united states, mexico, countryside, atlas, oceans","Due to Google maps, other highway and street GPS services Atlas has been replaced since they provide better and more accurate data. Other options are places or locations which cannot be replaced by a service like GPS.",atlas,atlas,atlas
What is a lover likely to want to do with their partner?,"build family together, fall in love, make love, complete, distance themselves","When two people are in love, they are likely to get attracted and make love as it is an act of love. People build family when they marry and people are called lobers as they already are in love. Complete is grammatically incorrect and lovers dp not distance themselves.",make love,make love,make love
Where do you typically use a tourniquet?,"hospital, ghetto, emergency kit, controlling bleeding, ambulance",Hospital is a place where a tourniquet is typically used. Ghetto is not a place where tourniquet can be used. Tourniquet cant be kept in an emergency kit. Tourniquet is to be used for controlling bleeding. A tourniquet can be temporarily used in an ambulance.,hospital,hospital,hospital
Where is a magnet used to make something vibrate?,"fridge, microwave, car, speaker, magnetricity",Speaker vibrates to produce sound. Magnet is used to vibrate the speaker. Fridge and car do not need to vibrate. Microwave does not use magnet. Magnetricity is the magnetic equivalent of electricity and it cannot be vibrated.,speaker,speaker,speaker
What is the world full of?,"countries, thought, water, universe, galaxy",The world is full of countries. The world is not said to be full of water. World is not full of universe or galaxy. World dont have thought but people living in different countries of world have different thoughts.,countries,countries,countries
"The neolithic person was hungry, so what was their solution to the prblem?","thank god, hunt for food, feel humiliated, sleep, prepare to go","Neolithic people are those who eat domesticated or wild crops and animals. Neolithic people tend to hunt deers or eat wild berries in dire situations. When a neolithic person iss hungry, they often hunt for food. People generally do not thank god when they are hungry. Feeling humiliated is not related to being hungry or neolithic. People usually do not go to sleep when they are hungry. Prepare to go is an irrelevant option.",hunt for food,hunt for food,hunt for food
Billy was a very creative person but he wasn't very social. He wanted to meet new people. What would he have to do to accomplish that?,"talk to each other, go out, sing, make art, come home",Being social means to meet new people and talking to them. One must go out to be able to meet people. People usually do not talk to eachother if they are not social. One cannot meet new people by singing. Making art does not help in meeting new people and in socializing. Come home is an irrelevant option.,go out,go out,go out
Billy is grooming himself in his bedroom because he wanted to be handsome for the dance.  He can't find his comb. He rushes to the store to do what with a comb?,"beauty, prepare, positive, get, looking pretty",Store is a place which sells various items like comb. One can get something from a store by buying it. So Billy rushed to the store to get the comb. All the other options cannot be done with a comb in a store.,get,get,get
"She always made sure her infant was sleeping the right way, the articles she read had made her paranoid about what happening?","nightmares, death, dreams, erections, vaccines",She always made sure her infant was sleeping the right way because the articles she read had made her paranoid about the happenings of death. A death might make a person paranoid. erections dont happens to her.vaccines isn't acorrect option. She didn't have any nightmares or dreams after reading the articles.,death,death,death
"The hikers were feeling exhaustion, so they sat on a log to what?","read a book, have rest, run out of steam, sit down, go to sleep","When a person feels exhaustion, they should have rest. The hikers have rest when they sat on log. A person cant run out of steam on feeling exhaustion. Hikers didnt sat on a log to just sit down or read a book. As they were feeling exhaustion so they might not go to sleep.",have rest,read a book,have rest
"They made rules to bar any smoking in the building, if you wanted to do it you had to what?","go outside, unhealthy, coughing, foolish, inhale","They made rules that if you want to do smoking then you had to go outside of the building. For smoking, you need to go outside as you cannot smoke in the building. You cannot inhale while smoking. Unhealthy is not a rule made by them. Foolish is not a correct option. They didnt made any rules related to coughing.",go outside,go outside,go outside
Where would normally find two eyes?,"someones face, faces, person's head, potato, someones face",Human beings have 2 eyes. A person's head contain 2 eyes. Face dont contain eyes. Faces is not a specific place. Potato contains many eyes.,person's head,potato,person's head
Where does litter end up when it's tossed from a car?,"roadsides, street corner, not in the garbage, park, ground","A car is driven on roads and hence when litter is thrown, it ends up as garabge on roadsides. Ground can be any place including parks, roads, streets hence it is not correct option.",roadsides,roadsides,Invalid Prediction
Where are there lots of seats placed in rows surrounding a court?,"show, auditorium, movies, soccer stadium, hockey game","In auditorium, there are lots of seats placed in rows. Auditorium seats are surrounding a court. In show, there are no surrounding court placement of seats. Movies is not a place. In soccer stadium, seats are not placed in rows. In hockey game, there are no proper seats.",auditorium,auditorium,auditorium
"At what institution can you learn about a shark, a whale, or a dolphin?","bad movie, pool hall, bathtub, outside, marine museum","MArine museum is an institution. At marine museum, one can learn about marine life. BAd movie, pool hall or outside is not an institution. Pool hall dont contain sharks.",marine museum,marine museum,marine museum
Grapes are often grown in what sort of location in order to produce a beverage that impairs the senses when inbibed?,"rows, bowl of fruit, winery, painting, fruit stand",Winery is an establishment where wine is made from grapes grown there and wine is the alcoholic beverage that impairs the senses when imbibed. So grapes are grown in a location like winery to produce wine. Rows are not a location and grapes can't be grown in other options.,winery,winery,winery
"The man pleaded for peace between the two sides, but their what towards each other was too much to abide?","hostility, turmoil, fights, fighting, love and understanding",Hostility is a state of resentment and cold war between two parties. Hostility does not bring peace and is not usually tolerated by people. Turmoil is usually not too much to abide. Fights and fighting are irrelevant options. Love and understanding does not require pleading for peace.,hostility,fights,hostility
What does a person want at work?,"own house, easy life, reoccuring headache, healthy children, treated with respect",People working in the same office are called colleagues. Colleagues work with eachother with mutual respect. One expects to be treated with respect at work for a functional and healthy work environment. People do not want to own house at work.Easy life is an irrelevant option. People generally do not want a reoccuring headache at work. One cannot get healthy children at work.,treated with respect,treated with respect,treated with respect
"The person was glad that his father had helped him.   If his father wasn't there, he'd have been what?","regretful, hatred, downcast, unhappy, disappointed","Disappointed is being sad because one hasn't fulfilled one's hopes and expectations. He was glad his father helped him, else he'd be disappointed. Lack of help from someone won't bring hatred in one. Other options come under disappointed.",disappointed,disappointed,disappointed
What is something that people could walk on and that could have a steel cable attached to it?,"rowboat, ground, suspension bridge, ship, building",People could walk on a suspension bridge. It's a suspension bridge that could have a steel cable attached to it. People might not walk on a rowboat or a building. Ground dont have a steel cable attached to it. Ship is not a thing that can be used by people for walking.,suspension bridge,suspension bridge,suspension bridge
A company with the moniker of Big Sky Excavation would probably be found where?,"a forest, city, egypt, montana, desert","A company with the moniker of Big Sky Excavation would be found in montana. A company couldnt be found in a forest. Company with Big Sky Excavation as moniker cant be found in city or desert. In Egypt, there is no company with moniker of Big Sky Excavation.",montana,montana,montana
Where would you store a saltshaker when not in use?,"own kitchen, empty restaurant, table setting, kitchen cupboard, cruet","Saltshaker is kept in kitchen cupboard. All kitchen items when not in use are kept in a kitchen cupboard. Own kitchen is the common place where items are kept, not specific not in use. We dont go to empty restaurant to keep kitchen items. Saltshaker is not kept in a table setting. Saltshaker cant be kept in a cruet.",kitchen cupboard,own kitchen,kitchen cupboard
What would you get if you want a painting but cannot afford the original?,"reproduction, derivative, reproduction, simile, remake","A painting that is original costs many bucks. Hnece, people purchase the reproduction which is the similar painting but at a reduced price. All the other options are incorrect as they are not a thing related to paintings.",reproduction,reproduction,reproduction
"James spent his days at his cottage trying to capture the beauty of the landscape, but he wasn't good at it. He was never good at it.  What isn't he good at?","mountains, dense areas, village, countryside, painting",Painting is the art of capturing something on a canvas and not everyone is good at painting. All the other options are not actions to be good at.,painting,painting,painting
Where do you store a salad bowl when not in use?,"french restaurant, lettuce, dishwasher, cupboard, buffet","Unused salad bowl are kept in cupboard. Cupboard is a place where unused utensils are stored. We will store unused utensils in home, not in a restaurant. Utensils cant be stored in a lettuce, dishwasher or buffet.",cupboard,cupboard,cupboard
Where can food stay cold?,"cupboard, fridge, oven, glass, table",Fridge have very low temprature so that food stay fresh for long time soFood becomes cold in low temprature and Food can be stored in fridge. Cupboard cannot be used to keep the food as cupboard have normal temprature so food cannot stay cold.Oven have high temprature when is use so food in oven doesn't stay cold but instead it becomes hot.Glass is not place where food can be kept. Food on table cannot stay cold as table have normal room temprature.,fridge,fridge,fridge
Joe was in California for vacation and saw a marmot  What specific place might he be?,"great outdoors, mountainous region, north america, los angeles, sierra nevada mountains",sierra nevada mountains are a place in California with wilderness where one can find a marmoth. All the other options are not part of california except los angeles. It also is a populated city hence one cannnotsee marmoth there.,sierra nevada mountains,sierra nevada mountains,sierra nevada mountains
"She was not lying intentionally, but she had a powerful what?","duplicitous, dishonesty, poker face, imagination, deceitful","When one lies, they create fake situations and someone with powerful imagination can do that. All the other points like dishonesty and decietfulness are realted to lying but dont make it powerful. Other options are invalid as are not realted to lying.",imagination,imagination,imagination
What movie would a human watch if they were really nerdy?,"star trek, restroom, cornfield, wired, school","Nerdy is characterized by an obsessive interest in something, especially technology. Human when nerdy will watch star trek. Restroom, cornfield, Wired and School are not a movie a human would watch if they were really nerdy.",star trek,star trek,star trek
What is likely to happen immediately a rash killing?,"go to the store, going to jail, being imprisoned, feeling of guilt, no longer live","Feeling of guilt means a feeling of worry or unhappiness that you have because you have done something wrong, such as causing harm to another person. Feeling of guilt is likely to happen immediately a rash killing. Go to the store is visiting a large store and it doesn’t relate with what is likely to happen immediately after a rash kill. Going to jail is not what is likely to happen immediately after a rash killing as that stage may come far behind but at the first comes the feeling of worry. Being imprisoned is not what is likely to happen immediately after a rash killing. No longer live is not what is likely to happen immediately after a rash killing.",feeling of guilt,feeling of guilt,feeling of guilt
"All the business owners had a monthly committee meeting, it was to introduce new tenants and discuss issues of the what?","town, office building, boardroom, government, city hall",Various businesses are run from one building. All business owners sharing same office building have formed committee to manage building and Monthly meetings are held to introduce new tenants and issues of office building. Whereas town and City hall are not a rented place and also business owners don't hold monthly meetings to discuss as those are governed by authority. There is no point in discussing Government issues over regular meetings abd boardroom is a privately owned area for which various business owners meeting is not required.,office building,office building,office building
Where does a drug dealer like to hang out?,"supply drugs, prison, sell drugs, jail, nightclub",Drug dealer hang out at nightclub as Nightclub is place for hang out.Supply of drug and sell of drug is an action not place to hang out.prison and jail is not place for hanging out.,nightclub,nightclub,nightclub
