Question,Correct Choice,Ground Truth Explanation,Generated Explanation (T5),Generated Explanation (LLaMA),Ground Truth Ratings,T5 Ratings,LLaMA Ratings,T5 Similarity,LLaMA Similarity,T5 BERTScore,LLaMA BERTScore,T5 BLEURT,LLaMA BLEURT,Kendall Tau (Ground Truth vs T5),Kendall Tau (Ground Truth vs LLaMA),Krippendorff's Alpha
Where would a soprano sing live for money?,opera house,A soprano would sing live at an opera house for money. Soprano dont sing in a movie. A soprano might not sing live in choit or choir. Theater is not a place where a soprano sing.,opera houses are generally located in the city.,"Opera houses host live performance of operas and their main performers are sopranos because they have high pitched voice . Sopranos do not belong in choirs , churches nor concert halls so those places are out of context for this","{""supports"": 0, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 1, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 2, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}",0.4900000095367431,0.75,0.85,0.87,-1.05,-0.22,-0.05006261743217588,0.5714285714285715,
What do you do after you reproduce?,raise children,"You need to raise children after you reproduce. You cant accidently or somehow got pregnant after you reproduce. After you reproduce you dont immediately have children. Offsprings do not, immediately, came into existence after you reproduce. 'Extra copies of gang' do not suits with the given question.","after you reproduce, you raise children.",After reproduction parents takes care of childrens till they become adult enough to survive on their own. Parents raises kids. Question: Who has control over the government? Correct Choice: citizens Explan,"{""supports"": 2, ""overall"": 2, ""well_written"": 0, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 1, ""contrastive"": 1}","{""supports"": 1, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 0, ""overall"": 1, ""well_written"": 0, ""related"": 0, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}",0.6499999761581421,0.4399999976158142,0.88,0.83,-1.07,-0.61,0.3338489304447943,0.3500700210070025,
"The shark realized it was in northern california, where was it likely?",tomales bay,Tomales bay is in northern california. Sharks are there at tomales bay. Sea world is not a place at northern california. Tropical waters or great oceans are not there at northern california. Sharks are not there in acquarium.,northern california is a state in the southern part of the country.,Sharks swim around 30 miles per day so they travel hundreds of miles before arriving near California coastline. Tomale Bay lies on north part of San Francisco bay area whereas Monterey Bay lies on south side of san frn,"{""supports"": 2, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 0, ""overall"": 1, ""well_written"": 0, ""related"": 0, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}",0.5,0.75,0.84,0.83,-1.25,-0.4,-0.06299407883487121,0.6190476190476191,
What type of areas have parking lots for stores?,urban area,Stores are small shopping places which are seen in urban areas. These places have designated parking lots. Other options do not have stores or parking lots specifically for stores.,urban areas have parking lots for stores.,Parking lot is found only near shopping malls or retail store so it is used when we go out for shopping hence parking lot is usually located around cities or towns because these places require transportation facilities nearby.Parking lot,"{""supports"": 0, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 0, ""overall"": 1, ""well_written"": 1, ""related"": 0, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}",0.8500000238418579,0.699999988079071,0.91,0.87,-0.83,-0.29,0.12524485821702988,0.40016336533252067,
The audience got up at intermission and bought pop corn.  What might they be watching?,movies,Movie is a cinema film with a short break called an intermission. The audience who got up at intermission were watching a movie. All the other options are not something that can be watched.,movies are a type of entertainment.,"Movies were shown before the internet came into existence so we get our entertainement only through television sets. It's a old fashioned word used when referring to theatre plays. All the others don't make sense because ""audience"" doesn","{""supports"": 0, ""overall"": 2, ""well_written"": 0, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 1, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}",0.5400000214576721,0.5099999904632568,0.87,0.85,-1.15,-0.59,0.47368421052631565,0.5006261743217588,
A motorcycle is quicker because it isn't as what as a car?,heavy,"Car is a heavy vehicle and not an obese vehicle. Motorcycle is not a heavy vehicle and being heavy makes vehicles go slower while being shiny, red and expensive do not.",motorcycle is quicker because it isn't as heavy as a car,Motorcycles have less weight compare to cars so they accelerate faster due to their lighter weights. Speed alone does not mean acceleration but the acceleration depends on how fast the vehicle gets up speed.,"{""supports"": 0, ""overall"": 4, ""well_written"": 0, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 1, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}","{""supports"": 2, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 0}",0.800000011920929,0.6800000071525574,0.87,0.87,-0.72,-0.05,0.3423811916311629,0.44455422447438714,
Is there a way for people going into trance to see things that do not exist?,hallucination,Hallucination means imagining unreal things which are things that don't exist. People in trance can have hallucinations. Other options may not cause one to see things that don't exist.,hallucination is a way for people going into trance to see things that do not exist.,Trance is mental state when someone sees images that don't really exists but appear real so they are known as Hallucinations. All the other options are not correct. Question: Which word best describes the woman on this street corner,"{""supports"": 4, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 1, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}","{""supports"": 0, ""overall"": 2, ""well_written"": 1, ""related"": 0, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}",0.8999999761581421,0.699999988079071,0.91,0.86,0.22,-0.04,0.7008766440504623,-0.05292561240249632,
"Where might I ruin some papers if I place my coffee mug there, and it spills?",desktop,"We work on desktop with papers and if we place coffee mug on desktop, it spills and some papers might get ruined. However we do not work on table hence papers are not lying on table. While cupboard and shilf are not meant to put papers and similarly we do not take papers in kitchen","coffee mugs are usually placed on the desktop, and spills are usually found on the floor.","Desktop is flat surface on top of table or computer system. You keep files, documents, pictures etc.,on this desk so anything placed on it gets spoiled when liquid falls on it. The rest options are not correct because they describe places","{""supports"": 4, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 0, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}",0.7300000190734863,0.6499999761581421,0.86,0.86,-0.96,-0.76,0.6190476190476191,0.4761904761904763,
What do you compete against someone in?,in competition,You compete against someone in a competition because it’s a contest in which people participate to establish superiority in a particular area. Fair isn’t a valid answer because it’s a travelling show with games and rides. False start isn’t a valid answer as a race will be invalid if a racer started before the official start signal. Being competitive isn’t the valid answer as there maybe competitors who’re not competitive. Practice isn’t the valid because one doesn’t practice among their competitors.,competition is a game,You only compete when there is two competitors present. Only thing that both need to win so they have common interest. In this case there are 2 persons. They have different motives but same objective so its competition between these two.,"{""supports"": 3, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 0, ""overall"": 1, ""well_written"": 0, ""related"": 0, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 0, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}",0.6399999856948853,0.6399999856948853,0.82,0.83,-1.77,-0.97,0.0,0.8743856497851876,
What does a child learn to do in a lake?,row boat,"One needs to learn to row boat which is done in a lake while driving, going out to play and beginning school are not. Rowing boat is an activity while becoming adult is not.",row boat is a boat,Rowboat is used to row on water surface in lakes etc. Learn how to ride a horse is not relevant for this question because horses shouldnt be kept in lakes. Paddle boats cant be used in large bodies of water.,"{""supports"": 1, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 0, ""overall"": 1, ""well_written"": 0, ""related"": 1, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}",0.5899999737739563,0.6200000047683716,0.84,0.86,-1.89,-0.9,0.0,0.8498365855987976,
"A man was driving himself to the airport, where did he put his luggage?",trunk,"When the man is driving towards airport, he will keep his luggage at back in trunk of vehicle. While a man is driving towards airport, he cannot keep it in closet as he does not carry cupboard. Hotels are not used while driving and sidewalk and bus stop are invalid options as they are not in driving towards airport.",trunks are used for storing luggage.,Trunk is used for carrying heavy items such as suitcase when travelling on road. Hoodie is clothes worn during winter season. It doesnt mean anything else. Question: If you were asked to solve a problem how should you go,"{""supports"": 4, ""overall"": 4, ""well_written"": 0, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 1, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 1, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 1, ""contrastive"": 0}",0.4900000095367431,0.4199999868869781,0.84,0.83,-1.54,-0.91,0.3034330424545042,0.3034330424545042,
"The atheist extolled virtues of secular thought, what ideas was he likely opposing?",religious,"Atheist is the one who dont believe in religion. Religious views are ideas that are opposed by an atheist. Church, eternal or Unpredictable is not an idea. Atheist are monastic.",religious ideas are not a good idea to atheists.,"Secularism mean no religion therefore, Atheists believe there should be no religions. So, He believes in no religion so, Religion is being opposed here. Question: If I were a cowboy, this might happen to","{""supports"": 1, ""overall"": 2, ""well_written"": 0, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 1, ""contrastive"": 1}","{""supports"": 0, ""overall"": 2, ""well_written"": 0, ""related"": 0, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 1, ""overall"": 2, ""well_written"": 0, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 1, ""contrastive"": 0}",0.5299999713897705,0.4300000071525574,0.87,0.86,-0.62,-0.77,0.6054055145966812,0.8346223261119857,
What is the reason for having a gardener?,grow plants,"Plants need to be taken care of, for them to grow well. So we need a gardener to do it. All other options come under growing plants.",gardening is a way to grow plants.,Gardner grows the plants while others just water the plant. Others donot care about garden and they are not responsible for growing plants. Hence gardners job is to grow plants only and no one else has this job.,"{""supports"": 3, ""overall"": 1, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}","{""supports"": 0, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}",0.75,0.6000000238418579,0.88,0.87,-0.72,-0.61,-0.11128297681493143,0.6288281455225324,
"A regular everyday human would just call it a meeting, but people like cardinals might call it a what?",conclave,"Cardinals are a leading dignitary of the roman catholic church, nominated by pope which elects succeeding popes. Cardinals always be specific in words and so Conclave is a private meeting. Sanctuary, Homes, Mortuary and Stadium is not what cardinals might call a meeting pace.",conclave is a meeting,"Cardinal holds important postion in church hierarchy so they meet frequently in group to make decision about their organization . They have there own rules to follow during these gatherings known as Conclave. Other terms such as conference, convention etc are common term","{""supports"": 0, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 1, ""overall"": 2, ""well_written"": 0, ""related"": 1, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}",0.5799999833106995,0.7699999809265137,0.85,0.84,-1.49,-0.5,-0.05564148840746572,0.3175536744149779,
"If a person wants to sort a pile of stuff, they must start by what?",separate things,"Sorting means arranging things in an orderly fashion. One must separate things first to sort them. Controlling computer is not helpful in sorting a pile of stuff. Going on a vacation, cross street and gain weight are not helpful in sorting a pile of stuff.",separate things is the first step in sorting a pile of stuff.,Separating things first before sorting makes sense because then only we know whether thing belongs together or alone. Other option doesnot make any logical sense. Question: How many times did the guy see the girl on stage ? Correct,"{""supports"": 4, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 1, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}","{""supports"": 0, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 1, ""contrastive"": 0}",0.5899999737739563,0.3799999952316284,0.89,0.85,-0.83,-0.83,0.6676978608895886,0.0,
What can we assume about people who get up early?,go sleep early,"People generally try to maintain a steady sleep cycle so if they get up early, they go to sleep early. Going to bed early doesn't necessarily mean they'll go to sleep and people generally don't get a rooster. Not all spouses ask the other spouse to wake up after getting up and those who get up early may not need to fix up alarm..",sleep early is a common way to wake up early.,Getting up early has nothing to do with going to bed earlier unless someone sleeps late at night but gets up early next morning due to some reason. If this were true then getting up early could mean waking up late. People who wake up,"{""supports"": 0, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 0, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 1, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}",0.6600000262260437,0.7300000190734863,0.86,0.86,-1.26,-0.41,0.5006261743217589,0.8743856497851876,
Starting in the mouth and passing through the throat what organ is where food passes through the body?,alimentary canal,"Alimentary canal is the whole passage along which food passes through the body from mouth to anus during digestion. Starting in the mouth and passing through throat food passes through the body by alimentary canal. By neck, food cant pass throughout the body. Upper respiratory tract is not used for passing the food. Throatplate is not any organ in the body.",food is passed through the alimentary canal.,Alimentary Canal starts form mouth and ends up near the anal opening. It has many different parts such as stomach etc. Lungs and Heart are internal organs but they don't pass food down their bodies while lining of small,"{""supports"": 4, ""overall"": 4, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 2, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 0, ""overall"": 2, ""well_written"": 1, ""related"": 0, ""factual"": 0, ""new_info"": 0, ""unnecessary_info"": 1, ""contrastive"": 0}","{""supports"": 1, ""overall"": 2, ""well_written"": 0, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 1, ""contrastive"": 0}",0.8100000023841858,0.7900000214576721,0.87,0.87,-0.98,-0.37,-0.05292561240249632,0.45056355688958294,
Why do people want to read fiction books?,having fun,"For having fun, people want to read fiction books. Fiction book dont let a person to learn unknown concepts, new things and fall asleep. The word memeoize dont fits in the given sentence.",fiction books are often a way to have fun.,Fiction book gives readers enjoyment when they read because stories written on pages have good quality storyline and engaging characters. Readers gets pleasure while reading so fiction books make readers happy .,"{""supports"": 0, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 0, ""unnecessary_info"": 0, ""contrastive"": 1}","{""supports"": 1, ""overall"": 2, ""well_written"": 1, ""related"": 1, ""factual"": 0, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}","{""supports"": 2, ""overall"": 3, ""well_written"": 1, ""related"": 1, ""factual"": 1, ""new_info"": 1, ""unnecessary_info"": 0, ""contrastive"": 0}",0.5600000023841858,0.4799999892711639,0.88,0.86,-0.73,-0.15,0.2631578947368421,0.2503130871608794,
