Question,Correct Choice,Ground Truth Explanation,Generated Explanation (T5),Generated Explanation (LLaMA),Ground Truth Ratings,T5 Ratings,T5 Human Ratings,LLaMA Ratings,LLaMA Human Ratings,T5 Similarity,LLaMA Similarity,T5 BERTScore,LLaMA BERTScore,T5 BLEURT,LLaMA BLEURT,Kendall Tau (Ground Truth vs T5),Kendall Tau (Ground Truth vs LLaMA),Kendall Tau (Ground Truth vs T5 Human),Kendall Tau (Ground Truth vs LLaMA Human),Krippendorff's Alpha
Where would you find a monitor wall that is used for watching moving lines?,hospital,A hospital has monitor walls with moving lines that show details of people like heartbeat etc. All the other options do not have moving lines that one can see.,a hospital is a medical facility that provides medical services.,A monitor wall is commonly found at hospitals where people watch their heart rate and other vital signs. They don't use them to look at TV shows like movies and videos since they want to see real time data about themselves while laying,"{'supports': 2, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 1, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 3, 'overall': 2, 'well_written': 2, 'related': 3, 'factual': 3, 'new_info': 3, 'unnecessary_info': 2, 'contrastive': 1}",0.43,0.66,0.84,0.87,-0.97,-0.19,0.702959491566638,0.874385649785188,0.547722557505166,0.108147614087175,
"A person wants to be successful, the end goal is to what?",acquire wealth,"People consider gaining wealth as becoming successful. When people want to successful, it usually means they want to acquire wealth. Delicious food is an irrelevant option. Self esteem has no relation to becoming successful. One does not aim to be successful to gain compliments. The ultimate goal of becoming successful is not eating dinner.","a person wants to be successful, the end goal is to acquire wealth.",Being successful means acquiring lots of money which is called wealth. Successful people achieve their goals whereas unsuccessful ones fail at them. Acquaintances don’t suit here. Wealth isn’t about having friends. Wealth isn,"{'supports': 2, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 1, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 4, 'overall': 3, 'well_written': 3, 'related': 4, 'factual': 4, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 2, 'overall': 1, 'well_written': 1, 'related': 2, 'factual': 1, 'new_info': 3, 'unnecessary_info': 2, 'contrastive': 1}",0.69,0.73,0.9,0.88,-0.7,-0.51,0.750939261482638,1,0.142857142857143,0.0500626174321759,
What should my family and I look into getting if we don't want an egg from the supermarket?,henhouse,hen house is shed for keeping poultry in and poultry gives you eggs and hen house doesnt require you to go supermarket for eggsfarm doesnt have pultry only.chicken coop are made in large poultry farms generally not in houses.plate cannot provide you eggs. bird's nest doesnt have eggs always.,henhouse is a house,Hen house refers to housing for chickens (hens). Egg from the supermarket will contain additives whereas eggs obtained from hens raised at home/henhouse won't contain any artificial ingredients. So we must get hen,"{'supports': 1, 'overall': 1, 'well_written': 0, 'related': 1, 'factual': 0, 'new_info': 1, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 1, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 0, 'overall': 0, 'well_written': 0, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 1, 'contrastive': 1}",0.61,0.79,0.82,0.85,-1.84,-0.44,0.710818653310911,0.338061701891407,0.29277002188456,-0.247536885744169,
"Though the drawing of the object was ambiguous at best, the people playing the drawing game were able to identify the item because it was what?",common,Common means something prevalent and people will be able to identify something easily if it is prevalent. So the people were able to identify the object even when it was ambiguous because it was common. Something will be known when it is common and something ambiguous cannot be what the other options say.,common is the only thing that is ambiguous at best.,"Common refers to something shared among many things like objects. Although this sentence says ""common"" instead of ""commonly"", both meanings refer to items/objects. Something is not commonly known if everyone knows about it. Unusual means abnormal","{'supports': 2, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 1, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 0, 'overall': 0, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 0, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}",0.77,0.77,0.83,0.86,-0.87,-0.37,0,1,0.547722557505166,-0.251976315339485,
Danny noticed a ceramic object on the table and picked a grape out of it.  What might have been on the table?,bowl of fruit,Ceramic objects are made of clay and many tableware like fruit bowls are ceramic. Danny noticed the ceramic object of a bowl of fruit on table and picked a fruit out of it. One cannot pick out grape from painting of fruits and other options aren't ceramic objects.,a bowl of fruit is a ceramic object.,Bowls of fruit are often made with ceramics. Ceramics are used for decorative purposes like plates etc. Objects may also be clay pots (which aren't ceramics). Hence we choose 'bowl,"{'supports': 3, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 1, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 2, 'contrastive': 0}",0.73,0.73,0.89,0.86,-1.41,-0.46,0,0.904534033733291,0.426401432711221,-0.236524958395633,
What is rain a type of?,weather,Rain is type of a weather. Disneyland isnt a type of rain. Air dont fits here. Forest dont suits here. Rain is not a snow.,rain is a type of weather.,"Rain is just one kind of water falling from clouds. There are many different types of rains such as snowstorm, sleet storm etc.. Water is not the right choice as it will drown us if we step outside during heavy downp","{'supports': 3, 'overall': 2, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 2, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 2, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 3, 'contrastive': 0}",0.72,0.66,0.88,0.85,-1,-0.62,-0.0489115988044518,0.703526470681449,0.426401432711221,-0.186096842079694,
"The news held a forum on who people would choose, they had a group that was what?",undecided,"There can be a group of undecided people and not blank people. Undecided refers to not making a decision while rejection, predetermination and forcing do not.","the news held a forum on who people would choose, they had a group that was undecided","In this sentence the word “undecided” means having mixed feelings about something, therefore the correct choice for this question should be “undecided”. “Voting” indicates a group voting in favour whereas “voters” refers to those","{'supports': 0, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 2, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 2, 'overall': 1, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 3, 'contrastive': 0}",0.57,0.68,0.85,0.85,-0.86,-0.32,0.134534558799263,0.743160535617538,0.18190171877725,-0.628828145522532,
What device with a lens would be used to see distant stars and planets?,telescope,"Telescope is an optical instrument designed to make distant objects appear nearer, containing an arrangement of lenses, or of curved mirrors and lenses, by which rays of light are collected and focussed and the resulting image magnified. The device with a lens called Telescope would be used to see distant stars and planets. Camera is a device to record images at nearby places and not of far space. Glasses is not a device to see distant stars and planets. Microscope is for small cells and not for seeing stars and planets. Kaleidoscope is a toy and you can see within it and not through it. So, you can’t see stars and planets with Kaleidoscope.",telescopes are used to see distant stars and planets.,Telescopic devices like binoculars magnify objects closer than they really appear. They are meant for seeing close things better rather than far away objects. Microscope is another example of such tool which enables us to view microorganisms,"{'supports': 4, 'overall': 4, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 3, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 1, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 3, 'overall': 3, 'well_written': 2, 'related': 3, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 2, 'overall': 2, 'well_written': 2, 'related': 2, 'factual': 2, 'new_info': 1, 'unnecessary_info': 3, 'contrastive': 0}",0.74,0.68,0.87,0.85,-1.34,-0.6,0.700876644050462,0.952380952380953,0.500626174321759,-0.25717224993682,
"Sam came to despise his sister.  On the other hand, she felt what for him?",admire,"Admire is to regard with respect or warm approval. Sam came to despise his sister. On the other hand, she felt admire for him. Despise is to feel contempt or a deep repugnance for. Love is a deep affection and not the opposite feeling of despise which his sister had for him. Worship is adoration for a deity whereas Sam was her brother. Cherish is to protect and care whereas Sam came to despise his sister who had a complete opposite feeling for Sam and it was not cherish. Honor is not an opposite of Despise what Sam’s sister had for him.",admire is a word that describes a feeling of admiration.,She feels admiration towards her brother despite coming to hate herself after some time. Hate is emotionally charged word whereas admiring someone means respecting them. Despising is something opposite of admirer. Dislike/disregard,"{'supports': 3, 'overall': 4, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 1, 'contrastive': 1}","{'supports': 1, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 0, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 1, 'well_written': 2, 'related': 1, 'factual': 0, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 1, 'overall': 2, 'well_written': 2, 'related': 2, 'factual': 2, 'new_info': 1, 'unnecessary_info': 3, 'contrastive': 0}",0.69,0.65,0.83,0.84,-1.14,-0.64,0.489115988044518,0.653274579918488,0,-0.186096842079694,
Justin couldn't dance long because he experienced what?,fatigue,Justin couldn't dance long because he experienced fatigue. To dance long is not related with having fun or meeting people. A person dont experience to be mannual. Become tired cant be experienced.,Justin couldn't dance long because he experienced fatigue.,Fatigue means tiredness caused due to physical exertion. So after dancing for sometime justin felt exhausted (fatigued) hence he left the party early. Pain means feeling hurt/discomfort while d,"{'supports': 2, 'overall': 3, 'well_written': 0, 'related': 1, 'factual': 1, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 1, 'well_written': 0, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 2, 'overall': 2, 'well_written': 3, 'related': 2, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 2, 'well_written': 1, 'related': 2, 'factual': 3, 'new_info': 3, 'unnecessary_info': 3, 'contrastive': 1}",0.9,0.7,0.92,0.85,-0.06,-0.05,0.123091490979333,0.604814736759006,0.222277112237194,-0.186096842079694,
"She had a bad habit of washing hands over one thousand times a day, what did she experience as a result?",dry skin,She experience dry skin as a result of washing hands over one thousand times a day. She had a bad habit of washing her hands again and again which results into the dry skin. Health is not due to a bad habit. To become wet is not a result that she experienced. She didnt experience skin irritation by washing hands again and again. Medium is not something to be experienced.,washing hands over one thousand times a day causes dry skin.,"Washing too much causes excessive loss of water from body leading to dehydration. As her skin got dried up due to lack of moisture, she experienced this symptom. Increased heart rate means having high","{'supports': 3, 'overall': 2, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 1, 'unnecessary_info': 0, 'contrastive': 1}","{'supports': 0, 'overall': 2, 'well_written': 1, 'related': 0, 'factual': 0, 'new_info': 0, 'unnecessary_info': 1, 'contrastive': 0}","{'supports': 2, 'overall': 2, 'well_written': 1, 'related': 2, 'factual': 1, 'new_info': 0, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 1, 'overall': 3, 'well_written': 1, 'related': 1, 'factual': 1, 'new_info': 2, 'unnecessary_info': 0, 'contrastive': 0}","{'supports': 2, 'overall': 2, 'well_written': 1, 'related': 3, 'factual': 3, 'new_info': 3, 'unnecessary_info': 1, 'contrastive': 0}",0.7,0.64,0.89,0.85,-0.77,-0.59,-0.057166195047503,0.51434449987364,0.668647849835732,0.0982946374365981,
